,model_id,model_name
67,67,yhyhy3/open_llama_7b_v2_med_instruct
68,68,TheBloke/OpenAssistant-SFT-7-Llama-30B-HF
69,69,OpenBuddyEA/openbuddy-llama-30b-v7.1-bf16
70,70,OpenBuddy/openbuddy-llama-65b-v8-bf16
71,71,OpenBuddy/openbuddy-llama2-13b-v8.1-fp16
72,72,OpenBuddy/openbuddy-openllama-13b-v7-fp16
73,73,openchat/openchat_8192
74,74,openchat/openchat_v2
75,75,openchat/openchat_v2_w
76,76,openchat/openchat_v3.1
77,77,openchat/openchat_v3.2
78,78,klosax/openllama-3b-350bt
79,79,Open-Orca/OpenOrca-Preview1-13B
80,80,Open-Orca/OpenOrcaxOpenChat-Preview2-13B
81,81,wannaphong/openthaigpt-0.1.0-beta-full-model_for_open_llm_leaderboard
82,82,jzjiao/opt-1.3b-rlhf
83,83,facebook/opt-125m
84,84,facebook/opt-13b
85,85,KoboldAI/OPT-13B-Erebus
86,86,KoboldAI/OPT-13B-Nerybus-Mix
87,87,KoboldAI/OPT-13B-Nerys-v2
88,88,concedo/OPT-19M-ChatSalad
89,89,facebook/opt-2.7b
90,90,KoboldAI/OPT-2.7B-Erebus
91,91,KoboldAI/OPT-2.7B-Nerybus-Mix
92,92,KoboldAI/OPT-2.7B-Nerys-v2
93,93,facebook/opt-30b
94,94,KoboldAI/OPT-30B-Erebus
95,95,facebook/opt-350m
96,96,KoboldAI/OPT-350M-Erebus
97,97,KoboldAI/OPT-350M-Nerys-v2
98,98,facebook/opt-6.7b
99,99,KoboldAI/OPT-6.7B-Erebus
100,100,KoboldAI/OPT-6.7B-Nerybus-Mix
101,101,facebook/opt-66b
102,102,KoboldAI/OPT-6B-nerys-v2
103,103,psmathur/orca_mini_13b
104,104,psmathur/orca_mini_3b
105,105,frank098/orca_mini_3b_juniper
106,106,psmathur/orca_mini_7b
107,107,psmathur/orca_mini_v2_13b
108,108,psmathur/orca_mini_v2_7b
109,109,jphme/orca_mini_v2_ger_7b
110,110,psmathur/orca_mini_v3_13b
111,111,Writer/palmyra-base
112,112,WeOpenML/PandaLM-Alpaca-7B-v1
113,113,TheBloke/Planner-7B-fp16
114,114,lilloukas/Platypus-30B
115,115,garage-bAInd/Platypus2-13B
116,116,garage-bAInd/Platypus2-70B
117,117,garage-bAInd/Platypus2-70B-instruct
118,118,BreadAi/PM_modelV2
119,119,EleutherAI/polyglot-ko-12.8b
120,120,KoboldAI/PPO_Pygway-6b-Mix
121,121,TehVenom/PPO_Pygway-V8p4_Dev-6b
122,122,TehVenom/PPO_Shygmalion-6b
123,123,TehVenom/PPO_Shygmalion-V8p4_Dev-6b
124,124,xhyi/PT_GPTNEO350_ATG
125,125,NYTK/PULI-GPTrio
126,126,Lazycuber/pyg-instruct-wizardlm
127,127,PygmalionAI/pygmalion-1.3b
128,128,TehVenom/Pygmalion-13b-Merged
129,129,PygmalionAI/pygmalion-2.7b
130,130,PygmalionAI/pygmalion-350m
131,131,PygmalionAI/pygmalion-6b
132,132,anhnv125/pygmalion-6b-roleplay
133,133,AlekseyKorshuk/pygmalion-6b-vicuna-chatml
134,134,Neko-Institute-of-Science/pygmalion-7b
135,135,TehVenom/Pygmalion_AlpacaLora-7b
136,136,notstoic/PygmalionCoT-7b
137,137,EleutherAI/pythia-1.3b
138,138,EleutherAI/pythia-1.4b-deduped
139,139,beaugogh/pythia-1.4b-deduped-sharegpt
140,140,EleutherAI/pythia-12b
141,141,EleutherAI/pythia-12b-deduped
142,142,OpenAssistant/pythia-12b-pre-v8-12.5k-steps
143,143,OpenAssistant/pythia-12b-sft-v8-2.5k-steps
144,144,OpenAssistant/pythia-12b-sft-v8-7k-steps
145,145,Pirr/pythia-13b-deduped-green_devil
146,146,EleutherAI/pythia-160m
147,147,EleutherAI/pythia-160m-deduped
148,148,klosax/pythia-160m-deduped-step92k-193bt
149,149,EleutherAI/pythia-1b-deduped
150,150,EleutherAI/pythia-2.7b
151,151,EleutherAI/pythia-2.8b-deduped
152,152,EleutherAI/pythia-410m-deduped
153,153,EleutherAI/pythia-6.7b
154,154,EleutherAI/pythia-6.9b-deduped
155,155,EleutherAI/pythia-70m
156,156,concedo/Pythia-70M-ChatSalad
157,157,EleutherAI/pythia-70m-deduped
158,158,klosax/pythia-70m-deduped-step44k-92bt
159,159,togethercomputer/Pythia-Chat-Base-7B
160,160,nthngdy/pythia-owt2-70m-100k
161,161,nthngdy/pythia-owt2-70m-50k
162,162,augtoma/qCammel-13
163,163,augtoma/qCammel-70-x
164,164,quantumaikr/QuantumLM-70B-hf
165,165,Corianas/Quokka_1.3b
166,166,Corianas/Quokka_2.7b
167,167,Corianas/Quokka_256m
168,168,Corianas/Quokka_590m
169,169,vonjack/Qwen-LLaMAfied-HFTok-7B-Chat
170,170,NousResearch/Redmond-Puffin-13B
171,171,Aspik101/Redmond-Puffin-13B-instruct-PL-lora_unload
172,172,togethercomputer/RedPajama-INCITE-7B-Base
173,173,togethercomputer/RedPajama-INCITE-7B-Chat
174,174,togethercomputer/RedPajama-INCITE-7B-Instruct
175,175,togethercomputer/RedPajama-INCITE-Base-3B-v1
176,176,togethercomputer/RedPajama-INCITE-Base-7B-v0.1
177,177,Fredithefish/RedPajama-INCITE-Chat-3B-Instruction-Tuning-with-GPT-4
178,178,Fredithefish/RedPajama-INCITE-Chat-3B-ShareGPT-11K
179,179,togethercomputer/RedPajama-INCITE-Chat-3B-v1
180,180,togethercomputer/RedPajama-INCITE-Chat-7B-v0.1
181,181,acrastt/RedPajama-INCITE-Chat-Instruct-3B-V1
182,182,togethercomputer/RedPajama-INCITE-Instruct-3B-v1
183,183,togethercomputer/RedPajama-INCITE-Instruct-7B-v0.1
184,184,heegyu/RedTulu-Uncensored-3B-0719
185,185,OptimalScale/robin-13b-v2-delta
186,186,TheBloke/robin-13B-v2-fp16
187,187,TheBloke/robin-33B-v2-fp16
188,188,OptimalScale/robin-65b-v2-delta
189,189,OptimalScale/robin-7b-v2-delta
190,190,HanningZhang/Robin-v2
191,191,LMFlow/Robin-v2
192,192,ai-forever/rugpt3large_based_on_gpt2
193,193,Fredithefish/ScarletPajama-3B-HF
194,194,digitous/Skegma-GPTJ
195,195,shaohang/Sparse0.5_OPT-1.3
196,196,garage-bAInd/Stable-Platypus2-13B
197,197,stabilityai/StableBeluga-13B
198,198,Aspik101/StableBeluga-13B-instruct-PL-lora_unload
199,199,stabilityai/StableBeluga-7B
200,200,stabilityai/StableBeluga1-Delta
201,201,stabilityai/StableBeluga2
202,202,OpenAssistant/stablelm-7b-sft-v7-epoch-3
203,203,stabilityai/stablelm-base-alpha-3b
204,204,stabilityai/stablelm-base-alpha-7b
205,205,stabilityai/stablelm-base-alpha-7b-v2
206,206,stabilityai/stablelm-tuned-alpha-3b
207,207,stabilityai/stablelm-tuned-alpha-7b
208,208,HuggingFaceH4/starchat-beta
209,209,GeorgiaTechResearchInstitute/starcoder-gpteacher-code-instruct
210,210,BreadAi/StoryPy
211,211,ariellee/SuperPlatty-30B
212,212,Lajonbot/tableBeluga-7B-instruct-pl-lora_unload
213,213,illuin/test-custom-llama
214,214,psmathur/test_42_70b
215,215,bigcode/tiny_starcoder_py
216,216,roneneldan/TinyStories-1M
217,217,roneneldan/TinyStories-28M
218,218,roneneldan/TinyStories-33M
219,219,roneneldan/TinyStories-3M
220,220,roneneldan/TinyStories-8M
221,221,TheBloke/tulu-13B-fp16
222,222,TheBloke/tulu-7B-fp16
223,223,TheBloke/UltraLM-13B-fp16
224,224,openbmb/UltraLM-65b
225,225,eachadea/vicuna-13b
226,226,eachadea/vicuna-13b-1.1
227,227,TheBloke/vicuna-13B-1.1-HF
228,228,kevinpro/Vicuna-13B-CoT
229,229,TheBloke/Vicuna-13B-CoT-fp16
230,230,lmsys/vicuna-13b-delta-v1.1
231,231,lmsys/vicuna-13b-v1.1
232,232,lmsys/vicuna-13b-v1.3
233,233,Lajonbot/vicuna-13b-v1.3-PL-lora_unload
234,234,lmsys/vicuna-13b-v1.5
235,235,lmsys/vicuna-13b-v1.5-16k
236,236,Aspik101/vicuna-13b-v1.5-PL-lora_unload
237,237,lmsys/vicuna-33b-v1.3
238,238,eachadea/vicuna-7b-1.1
239,239,lmsys/vicuna-7b-delta-v1.1
240,240,lmsys/vicuna-7b-v1.3
241,241,Aspik101/vicuna-7b-v1.3-instruct-pl-lora_unload
242,242,lmsys/vicuna-7b-v1.5
243,243,lmsys/vicuna-7b-v1.5-16k
244,244,Lajonbot/vicuna-7b-v1.5-PL-lora_unload
245,245,keyfan/vicuna-chinese-replication-v1.1
246,246,Ejafa/vicuna_7B_vanilla_1.1
247,247,Aeala/VicUnlocked-alpaca-30b
248,248,TheBloke/VicUnlocked-alpaca-65B-QLoRA-fp16
249,249,concedo/Vicuzard-30B-Uncensored
250,250,Aspik101/Vicuzard-30B-Uncensored-instruct-PL-lora_unload
251,251,bofenghuang/vigogne-13b-chat
252,252,bofenghuang/vigogne-13b-instruct
253,253,bofenghuang/vigogne-2-7b-instruct
254,254,bofenghuang/vigogne-7b-chat
255,255,bofenghuang/vigogne-7b-instruct
256,256,pythainlp/wangchanglm-7.5B-sft-en-sharded
257,257,pythainlp/wangchanglm-7.5B-sft-enth
258,258,openaccess-ai-collective/wizard-mega-13b
259,259,junelee/wizard-vicuna-13b
260,260,TheBloke/wizard-vicuna-13B-HF
261,261,ehartford/Wizard-Vicuna-13B-Uncensored
262,262,TheBloke/Wizard-Vicuna-13B-Uncensored-HF
263,263,ehartford/Wizard-Vicuna-30B-Uncensored
264,264,TheBloke/Wizard-Vicuna-30B-Uncensored-fp16
265,265,ehartford/Wizard-Vicuna-7B-Uncensored
266,266,TheBloke/Wizard-Vicuna-7B-Uncensored-HF
267,267,WizardLM/WizardCoder-15B-V1.0
268,268,LoupGarou/WizardCoder-Guanaco-15B-V1.0
269,269,LoupGarou/WizardCoder-Guanaco-15B-V1.1
270,270,ehartford/WizardLM-1.0-Uncensored-Llama2-13b
271,271,TheBloke/wizardLM-13B-1.0-fp16
272,272,Monero/WizardLM-13b-OpenAssistant-Uncensored
273,273,ehartford/WizardLM-13B-Uncensored
274,274,TheBloke/WizardLM-13B-V1-1-SuperHOT-8K-fp16
275,275,LLMs/WizardLM-13B-V1.0
276,276,WizardLM/WizardLM-13B-V1.1
277,277,WizardLM/WizardLM-13B-V1.2
278,278,TheBloke/WizardLM-30B-fp16
279,279,ehartford/WizardLM-30B-Uncensored
280,280,Monero/WizardLM-30B-Uncensored-Guanaco-SuperCOT-30b
281,281,ehartford/WizardLM-33B-V1.0-Uncensored
282,282,TheBloke/wizardLM-7B-HF
283,283,ehartford/WizardLM-7B-Uncensored
284,284,Monero/WizardLM-Uncensored-SuperCOT-StoryTelling-30b
285,285,frank098/WizardLM_13B_juniper
286,286,heegyu/WizardVicuna-3B-0719
287,287,heegyu/WizardVicuna-Uncensored-3B-0719
288,288,Aspik101/WizardVicuna-Uncensored-3B-instruct-PL-lora_unload
289,289,heegyu/WizardVicuna2-13b-hf
290,290,facebook/xglm-4.5B
291,291,facebook/xglm-564M
292,292,facebook/xglm-7.5B
293,293,wenge-research/yayi-13b-llama2
294,294,wenge-research/yayi-7b
295,295,wenge-research/yayi-7b-llama2
296,296,Andron00e/YetAnother_Open-Llama-3B-LoRA-OpenOrca
297,297,yulan-team/YuLan-Chat-2-13b-fp16
